Time,MinTemp,Cloudness,Qout,24h out,Qd,%,Qf,Qbs a,Qbs w,Qbs s,% bs a/d,% bs w/d,% bs s/d,% f/d,Qhwp,% hw
51,-1.8E+01,84,2.847050896E+02,6.8329221504E+03,1.6256967569100445E+03,2.3792115893123064E-01,1.2837707359916267E+03,1.5511252114075867E+03,1.612355638670864E+03,0E+00,4.587051378769778E-02,8.206400229608574E-03,1E+00,2.10325830733842E-01,4.96E+03,3.277614429254122E-01
52,-1.9E+01,94,2.9219732880000004E+02,7.012735891200001E+03,6.090694112796867E+02,8.685189642518597E-02,4.804444549212937E+02,5.82286192394293E+02,6.041745789154855E+02,0E+00,4.397400097489826E-02,8.036575591469794E-03,1E+00,2.1118275516109938E-01,4.96E+03,1.227962522741304E-01
53,-1.8E+01,81,2.847050896E+02,6.8329221504E+03,1.9270321398586304E+03,2.8202167351574786E-01,1.5183167624104562E+03,1.8458837675011953E+03,1.9117641342477095E+03,0E+00,4.211054433341645E-02,7.923067444033966E-03,1E+00,2.1209577619092446E-01,4.96E+03,3.885145443263368E-01
54,-1.8E+01,88,2.847050896E+02,6.8329221504E+03,1.2160066648402906E+03,1.7796290343643173E-01,9.568850496785443E+02,1.1670255524648526E+03,1.2064516200111998E+03,0E+00,4.028029927111544E-02,7.857724061360904E-03,1E+00,2.1309226557222782E-01,4.96E+03,2.4516263404038116E-01
55,-1.8E+01,85,2.847050896E+02,6.8329221504E+03,1.5186980458446626E+03,2.2226186870221518E-01,1.1935963205739185E+03,1.4602297084340044E+03,1.5067590808916602E+03,0E+00,3.849898771558615E-02,7.86131580643617E-03,1E+00,2.1406607202811695E-01,4.96E+03,3.0618912214610133E-01
56,-1.8E+01,78,2.847050896E+02,6.8329221504E+03,2.225566973096453E+03,3.2571232689460217E-01,1.746821039294903E+03,2.143783569597619E+03,2.207957806180755E+03,0E+00,3.674722193825858E-02,7.912216135737164E-03,1E+00,2.1511189714298554E-01,4.96E+03,4.487030187694461E-01
57,-1.6E+01,79,2.697206112E+02,6.4732946688E+03,2.122709909088988E+03,3.279180104869982E-01,1.6636524405763273E+03,2.048330589731127E+03,2.105684882076549E+03,0E+00,3.503979466972113E-02,8.020420943785552E-03,1E+00,2.162601053243662E-01,4.96E+03,4.2796570747761853E-01
58,-1.6E+01,75,2.697206112E+02,6.4732946688E+03,2.5249639203557376E+03,3.9005854816490343E-01,1.9759328596911969E+03,2.440639778176409E+03,2.504275796897171E+03,0E+00,3.339617706990772E-02,8.193433296920873E-03,1E+00,2.174411508371925E-01,4.96E+03,5.090653065233341E-01
59,-1.3E+01,89,2.472438936E+02,5.9338534464E+03,1.1100582974780687E+03,1.8707207845713278E-01,8.673694738648105E+02,1.0747824428700037E+03,1.100722779129844E+03,0E+00,3.177838018796641E-02,8.409935198389082E-03,1E+00,2.1862709748183554E-01,4.96E+03,2.2380207610444933E-01
60,-9E+00,100,2.172749368E+02,5.2145984832E+03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,NaN,NaN,NaN,NaN,4.96E+03,0E+00
61,-1.3E+01,86,2.472438936E+02,5.9338534464E+03,1.4105786811435587E+03,2.3771714180088832E-01,1.098524967044939E+03,1.3701124239607425E+03,1.3977895566152715E+03,0E+00,2.8687699398668248E-02,9.066580049202853E-03,1E+00,2.2122389787263563E-01,4.96E+03,2.84390863133782E-01
62,-1.3E+01,84,2.472438936E+02,5.9338534464E+03,1.6108716798292996E+03,2.7147142988618916E-01,1.2522831690907171E+03,1.5670073592162507E+03,1.5956160591083496E+03,0E+00,2.7230176780870103E-02,9.47041338672401E-03,1E+00,2.2260526100786712E-01,4.96E+03,3.247725160946169E-01
63,-1.2E+01,70,2.397516544E+02,5.7540397056E+03,3.0180194217868916E+03,5.245044483877417E-01,2.3418056215019387E+03,2.9401284728747414E+03,2.9879823264387223E+03,0E+00,2.580863076952403E-02,9.952585172690934E-03,1E+00,2.2405879677360857E-01,4.96E+03,6.084716576183249E-01
64,-1.2E+01,69,2.397516544E+02,5.7540397056E+03,3.116513502434243E+03,5.416218277745217E-01,2.4137372781155236E+03,3.040264412800536E+03,3.0838094966041986E+03,0E+00,2.4466150900405447E-02,1.0493779604837323E-02,1E+00,2.2550077956337924E-01,4.96E+03,6.283293351681941E-01
